Number,Type,Shape,X Position,Y Position,Size X,Size Y,Drill X,Drill Y,Pad→Die Length,Pad→Die Delay
,NPTH,,-264,-79,,,37.5,37.5,,
,NPTH,,-1849,-129,,,37.5,37.5,,
JA_A1,SMD,Circle,-319,-148,14,14,,,,
JA_A2,SMD,Circle,-344,-148,14,14,,,,
JA_A3,SMD,Circle,-369,-148,14,14,,,,
JA_A4,SMD,Circle,-394,-148,14,14,,,,
JA_A5,SMD,Circle,-419,-148,14,14,,,,
JA_A6,SMD,Circle,-444,-148,14,14,,,,
JA_A7,SMD,Circle,-469,-148,14,14,,,,
JA_A8,SMD,Circle,-494,-148,14,14,,,,
JA_A9,SMD,Circle,-519,-148,14,14,,,,
JA_A10,SMD,Circle,-544,-148,14,14,,,,
JA_A11,SMD,Circle,-569,-148,14,14,,,,
JA_A12,SMD,Circle,-594,-148,14,14,,,,
JA_A13,SMD,Circle,-619,-148,14,14,,,,
JA_A14,SMD,Circle,-644,-148,14,14,,,,
JA_A15,SMD,Circle,-669,-148,14,14,,,,
JA_A16,SMD,Circle,-694,-148,14,14,,,,
JA_A17,SMD,Circle,-719,-148,14,14,,,,
JA_A18,SMD,Circle,-744,-148,14,14,,,,
JA_A19,SMD,Circle,-769,-148,14,14,,,,
JA_A20,SMD,Circle,-794,-148,14,14,,,,
JA_A21,SMD,Circle,-819,-148,14,14,,,,
JA_A22,SMD,Circle,-844,-148,14,14,,,,
JA_A23,SMD,Circle,-869,-148,14,14,,,,
JA_A24,SMD,Circle,-894,-148,14,14,,,,
JA_A25,SMD,Circle,-919,-148,14,14,,,,
JA_A26,SMD,Circle,-944,-148,14,14,,,,
JA_A27,SMD,Circle,-969,-148,14,14,,,,
JA_A28,SMD,Circle,-994,-148,14,14,,,,
JA_A29,SMD,Circle,-1019,-148,14,14,,,,
JA_A30,SMD,Circle,-1044,-148,14,14,,,,
JA_A31,SMD,Circle,-1069,-148,14,14,,,,
JA_A32,SMD,Circle,-1094,-148,14,14,,,,
JA_A33,SMD,Circle,-1119,-148,14,14,,,,
JA_A34,SMD,Circle,-1144,-148,14,14,,,,
JA_A35,SMD,Circle,-1169,-148,14,14,,,,
JA_A36,SMD,Circle,-1194,-148,14,14,,,,
JA_A37,SMD,Circle,-1219,-148,14,14,,,,
JA_A38,SMD,Circle,-1244,-148,14,14,,,,
JA_A39,SMD,Circle,-1269,-148,14,14,,,,
JA_A40,SMD,Circle,-1294,-148,14,14,,,,
JA_A41,SMD,Circle,-1319,-148,14,14,,,,
JA_A42,SMD,Circle,-1344,-148,14,14,,,,
JA_A43,SMD,Circle,-1369,-148,14,14,,,,
JA_A44,SMD,Circle,-1394,-148,14,14,,,,
JA_A45,SMD,Circle,-1419,-148,14,14,,,,
JA_A46,SMD,Circle,-1444,-148,14,14,,,,
JA_A47,SMD,Circle,-1469,-148,14,14,,,,
JA_A48,SMD,Circle,-1494,-148,14,14,,,,
JA_A49,SMD,Circle,-1519,-148,14,14,,,,
JA_A50,SMD,Circle,-1544,-148,14,14,,,,
JA_A51,SMD,Circle,-1569,-148,14,14,,,,
JA_A52,SMD,Circle,-1594,-148,14,14,,,,
JA_A53,SMD,Circle,-1619,-148,14,14,,,,
JA_A54,SMD,Circle,-1644,-148,14,14,,,,
JA_A55,SMD,Circle,-1669,-148,14,14,,,,
JA_A56,SMD,Circle,-1694,-148,14,14,,,,
JA_A57,SMD,Circle,-1719,-148,14,14,,,,
JA_A58,SMD,Circle,-1744,-148,14,14,,,,
JA_A59,SMD,Circle,-1769,-148,14,14,,,,
JA_A60,SMD,Circle,-1794,-148,14,14,,,,
JA_B1,SMD,Circle,-319,-110,14,14,,,,
JA_B2,SMD,Circle,-344,-110,14,14,,,,
JA_B3,SMD,Circle,-369,-110,14,14,,,,
JA_B4,SMD,Circle,-394,-110,14,14,,,,
JA_B5,SMD,Circle,-419,-110,14,14,,,,
JA_B6,SMD,Circle,-444,-110,14,14,,,,
JA_B7,SMD,Circle,-469,-110,14,14,,,,
JA_B8,SMD,Circle,-494,-110,14,14,,,,
JA_B9,SMD,Circle,-519,-110,14,14,,,,
JA_B10,SMD,Circle,-544,-110,14,14,,,,
JA_B11,SMD,Circle,-569,-110,14,14,,,,
JA_B12,SMD,Circle,-594,-110,14,14,,,,
JA_B13,SMD,Circle,-619,-110,14,14,,,,
JA_B14,SMD,Circle,-644,-110,14,14,,,,
JA_B15,SMD,Circle,-669,-110,14,14,,,,
JA_B16,SMD,Circle,-694,-110,14,14,,,,
JA_B17,SMD,Circle,-719,-110,14,14,,,,
JA_B18,SMD,Circle,-744,-110,14,14,,,,
JA_B19,SMD,Circle,-769,-110,14,14,,,,
JA_B20,SMD,Circle,-794,-110,14,14,,,,
JA_B21,SMD,Circle,-819,-110,14,14,,,,
JA_B22,SMD,Circle,-844,-110,14,14,,,,
JA_B23,SMD,Circle,-869,-110,14,14,,,,
JA_B24,SMD,Circle,-894,-110,14,14,,,,
JA_B25,SMD,Circle,-919,-110,14,14,,,,
JA_B26,SMD,Circle,-944,-110,14,14,,,,
JA_B27,SMD,Circle,-969,-110,14,14,,,,
JA_B28,SMD,Circle,-994,-110,14,14,,,,
JA_B29,SMD,Circle,-1019,-110,14,14,,,,
JA_B30,SMD,Circle,-1044,-110,14,14,,,,
JA_B31,SMD,Circle,-1069,-110,14,14,,,,
JA_B32,SMD,Circle,-1094,-110,14,14,,,,
JA_B33,SMD,Circle,-1119,-110,14,14,,,,
JA_B34,SMD,Circle,-1144,-110,14,14,,,,
JA_B35,SMD,Circle,-1169,-110,14,14,,,,
JA_B36,SMD,Circle,-1194,-110,14,14,,,,
JA_B37,SMD,Circle,-1219,-110,14,14,,,,
JA_B38,SMD,Circle,-1244,-110,14,14,,,,
JA_B39,SMD,Circle,-1269,-110,14,14,,,,
JA_B40,SMD,Circle,-1294,-110,14,14,,,,
JA_B41,SMD,Circle,-1319,-110,14,14,,,,
JA_B42,SMD,Circle,-1344,-110,14,14,,,,
JA_B43,SMD,Circle,-1369,-110,14,14,,,,
JA_B44,SMD,Circle,-1394,-110,14,14,,,,
JA_B45,SMD,Circle,-1419,-110,14,14,,,,
JA_B46,SMD,Circle,-1444,-110,14,14,,,,
JA_B47,SMD,Circle,-1469,-110,14,14,,,,
JA_B48,SMD,Circle,-1494,-110,14,14,,,,
JA_B49,SMD,Circle,-1519,-110,14,14,,,,
JA_B50,SMD,Circle,-1544,-110,14,14,,,,
JA_B51,SMD,Circle,-1569,-110,14,14,,,,
JA_B52,SMD,Circle,-1594,-110,14,14,,,,
JA_B53,SMD,Circle,-1619,-110,14,14,,,,
JA_B54,SMD,Circle,-1644,-110,14,14,,,,
JA_B55,SMD,Circle,-1669,-110,14,14,,,,
JA_B56,SMD,Circle,-1694,-110,14,14,,,,
JA_B57,SMD,Circle,-1719,-110,14,14,,,,
JA_B58,SMD,Circle,-1744,-110,14,14,,,,
JA_B59,SMD,Circle,-1769,-110,14,14,,,,
JA_B60,SMD,Circle,-1794,-110,14,14,,,,
JA_C1,SMD,Circle,-319,-48,14,14,,,,
JA_C2,SMD,Circle,-344,-48,14,14,,,,
JA_C3,SMD,Circle,-369,-48,14,14,,,,
JA_C4,SMD,Circle,-394,-48,14,14,,,,
JA_C5,SMD,Circle,-419,-48,14,14,,,,
JA_C6,SMD,Circle,-444,-48,14,14,,,,
JA_C7,SMD,Circle,-469,-48,14,14,,,,
JA_C8,SMD,Circle,-494,-48,14,14,,,,
JA_C9,SMD,Circle,-519,-48,14,14,,,,
JA_C10,SMD,Circle,-544,-48,14,14,,,,
JA_C11,SMD,Circle,-569,-48,14,14,,,,
JA_C12,SMD,Circle,-594,-48,14,14,,,,
JA_C13,SMD,Circle,-619,-48,14,14,,,,
JA_C14,SMD,Circle,-644,-48,14,14,,,,
JA_C15,SMD,Circle,-669,-48,14,14,,,,
JA_C16,SMD,Circle,-694,-48,14,14,,,,
JA_C17,SMD,Circle,-719,-48,14,14,,,,
JA_C18,SMD,Circle,-744,-48,14,14,,,,
JA_C19,SMD,Circle,-769,-48,14,14,,,,
JA_C20,SMD,Circle,-794,-48,14,14,,,,
JA_C21,SMD,Circle,-819,-48,14,14,,,,
JA_C22,SMD,Circle,-844,-48,14,14,,,,
JA_C23,SMD,Circle,-869,-48,14,14,,,,
JA_C24,SMD,Circle,-894,-48,14,14,,,,
JA_C25,SMD,Circle,-919,-48,14,14,,,,
JA_C26,SMD,Circle,-944,-48,14,14,,,,
JA_C27,SMD,Circle,-969,-48,14,14,,,,
JA_C28,SMD,Circle,-994,-48,14,14,,,,
JA_C29,SMD,Circle,-1019,-48,14,14,,,,
JA_C30,SMD,Circle,-1044,-48,14,14,,,,
JA_C31,SMD,Circle,-1069,-48,14,14,,,,
JA_C32,SMD,Circle,-1094,-48,14,14,,,,
JA_C33,SMD,Circle,-1119,-48,14,14,,,,
