Number,Name,Electrical Type,Graphic Style,Orientation,Number Text Size,Name Text Size,Length,X Position,Y Position,Visible,Unit,Body Style
JA_A1,VCC_BATT,Passive,Line,Right,50,50,100,0,0,True,A,ALL
JA_A2,GND,Passive,Line,Right,50,50,100,0,-100,True,A,ALL
JA_A3,HPA_06P,Passive,Line,Right,50,50,100,0,-200,True,A,ALL
JA_A4,HPA_06N,Passive,Line,Right,50,50,100,0,-300,True,A,ALL
JA_A5,GND,Passive,Line,Right,50,50,100,0,-400,True,A,ALL
JA_A6,HPA_CLK0P_CLK,Passive,Line,Right,50,50,100,0,-500,True,A,ALL
JA_A7,HPA_CLK0N,Passive,Line,Right,50,50,100,0,-600,True,A,ALL
JA_A8,GND,Passive,Line,Right,50,50,100,0,-700,True,A,ALL
JA_A9,HPA_12P_CLK,Passive,Line,Right,50,50,100,0,-800,True,A,ALL
JA_A10,HPA_12N,Passive,Line,Right,50,50,100,0,-900,True,A,ALL
JA_A11,GND,Passive,Line,Right,50,50,100,0,-1000,True,A,ALL
JA_A12,HPA_13P,Passive,Line,Right,50,50,100,0,-1100,True,A,ALL
JA_A13,HPA_13N,Passive,Line,Right,50,50,100,0,-1200,True,A,ALL
JA_A14,GND,Passive,Line,Right,50,50,100,0,-1300,True,A,ALL
JA_A15,HDA_09,Passive,Line,Right,50,50,100,0,-1400,True,A,ALL
JA_A16,HDA_10,Passive,Line,Right,50,50,100,0,-1500,True,A,ALL
JA_A17,HDA_11,Passive,Line,Right,50,50,100,0,-1600,True,A,ALL
JA_A18,GND,Passive,Line,Right,50,50,100,0,-1700,True,A,ALL
JA_A19,VCCOEN_PS_M2C,Passive,Line,Right,50,50,100,0,-1800,True,A,ALL
JA_A20,VCCOEN_PL_M2C,Passive,Line,Right,50,50,100,0,-1900,True,A,ALL
JA_A21,GND,Passive,Line,Right,50,50,100,0,-2000,True,A,ALL
JA_A22,JTAG_TMS_C2M,Passive,Line,Right,50,50,100,0,-2100,True,A,ALL
JA_A23,JTAG_TDO_M2C,Passive,Line,Right,50,50,100,0,-2200,True,A,ALL
JA_A24,JTAG_TDI_C2M,Passive,Line,Right,50,50,100,0,-2300,True,A,ALL
JA_A25,JTAG_TCK_C2M,Passive,Line,Right,50,50,100,0,-2400,True,A,ALL
JA_A26,GND,Passive,Line,Right,50,50,100,0,-2500,True,A,ALL
JA_A27,MODE0_C2M,Passive,Line,Right,50,50,100,0,-2600,True,A,ALL
JA_A28,MODE1_C2M,Passive,Line,Right,50,50,100,0,-2700,True,A,ALL
JA_A29,MODE2_C2M,Passive,Line,Right,50,50,100,0,-2800,True,A,ALL
JA_A30,MODE3_C2M,Passive,Line,Right,50,50,100,0,-2900,True,A,ALL
JA_A31,Reserved,Passive,Line,Right,50,50,100,0,-3000,True,A,ALL
JA_A32,Reserved,Passive,Line,Right,50,50,100,0,-3100,True,A,ALL
JA_A33,GND,Passive,Line,Right,50,50,100,0,-3200,True,A,ALL
JA_A34,MIO41,Passive,Line,Right,50,50,100,0,-3300,True,A,ALL
JA_A35,MIO42,Passive,Line,Right,50,50,100,0,-3400,True,A,ALL
JA_A36,MIO43,Passive,Line,Right,50,50,100,0,-3500,True,A,ALL
JA_A37,GND,Passive,Line,Right,50,50,100,0,-3600,True,A,ALL
JA_A38,MIO61,Passive,Line,Right,50,50,100,0,-3700,True,A,ALL
JA_A39,MIO62,Passive,Line,Right,50,50,100,0,-3800,True,A,ALL
JA_A40,MIO63,Passive,Line,Right,50,50,100,0,-3900,True,A,ALL
JA_A41,GND,Passive,Line,Right,50,50,100,0,-4000,True,A,ALL
JA_A42,MIO73,Passive,Line,Right,50,50,100,0,-4100,True,A,ALL
JA_A43,MIO84,Passive,Line,Right,50,50,100,0,-4200,True,A,ALL
JA_A44,MIO75,Passive,Line,Right,50,50,100,0,-4300,True,A,ALL
JA_A45,GND,Passive,Line,Right,50,50,100,0,-4400,True,A,ALL
JA_A46,GND,Passive,Line,Right,50,50,100,0,-4500,True,A,ALL
JA_A47,GTR_DP1_M2C_P,Passive,Line,Right,50,50,100,0,-4600,True,A,ALL
JA_A48,GTR_DP1_M2C_N,Passive,Line,Right,50,50,100,0,-4700,True,A,ALL
JA_A49,GND,Passive,Line,Right,50,50,100,0,-4800,True,A,ALL
JA_A50,GND,Passive,Line,Right,50,50,100,0,-4900,True,A,ALL
JA_A51,GTR_REFCLK3_C2M_P,Passive,Line,Right,50,50,100,0,-5000,True,A,ALL
JA_A52,GTR_REFCLK3_C2M_N,Passive,Line,Right,50,50,100,0,-5100,True,A,ALL
JA_A53,GND,Passive,Line,Right,50,50,100,0,-5200,True,A,ALL
JA_A54,GND,Passive,Line,Right,50,50,100,0,-5300,True,A,ALL
JA_A55,GTR_DP0_C2M_P,Passive,Line,Right,50,50,100,0,-5400,True,A,ALL
JA_A56,GTR_DP0_C2M_N,Passive,Line,Right,50,50,100,0,-5500,True,A,ALL
JA_A57,GND,Passive,Line,Right,50,50,100,0,-5600,True,A,ALL
JA_A58,GND,Passive,Line,Right,50,50,100,0,-5700,True,A,ALL
JA_A59,VCC_SOM,Passive,Line,Right,50,50,100,0,-5800,True,A,ALL
JA_A60,VCC_SOM,Passive,Line,Right,50,50,100,0,-5900,True,A,ALL
JA_B1,HPA_05P_CC,Passive,Line,Right,50,50,100,0,-6000,True,A,ALL
JA_B2,HPA_05N_CC,Passive,Line,Right,50,50,100,0,-6100,True,A,ALL
JA_B3,GND,Passive,Line,Right,50,50,100,0,-6200,True,A,ALL
JA_B4,HPA_04P,Passive,Line,Right,50,50,100,0,-6300,True,A,ALL
JA_B5,HPA_04N,Passive,Line,Right,50,50,100,0,-6400,True,A,ALL
JA_B6,GND,Passive,Line,Right,50,50,100,0,-6500,True,A,ALL
JA_B7,HPA_07P_CLK,Passive,Line,Right,50,50,100,0,-6600,True,A,ALL
JA_B8,HPA_07N,Passive,Line,Right,50,50,100,0,-6700,True,A,ALL
JA_B9,GND,Passive,Line,Right,50,50,100,0,-6800,True,A,ALL
JA_B10,HPA_11P_CLK,Passive,Line,Right,50,50,100,0,-6900,True,A,ALL
