PinName,NetName,Delay_Max (ns),Delay_Min (ns)
JA1.A10,HPA12_N,0.160028,0.130932
JA1.A12,HPA13_P,0.134101,0.109719
JA1.A13,HPA13_N,0.134398,0.109962
JA1.A15,HDA09,0.169807,0.138933
JA1.A16,HDA10,0.151965,0.124335
JA1.A17,HDA11,0.144562,0.118278
JA1.A3,HPA06_P,0.213477,0.174663
JA1.A34,MIO41,0.179454,0.146826
JA1.A35,MIO42,0.338844,0.277236
JA1.A36,MIO43,0.155859,0.127521
JA1.A38,MIO61,0.182512,0.149328
JA1.A39,MIO62,0.183854,0.150426
JA1.A4,HPA06_N,0.213719,0.174861
JA1.A40,MIO63,0.211486,0.173034
JA1.A42,MIO73,0.219692,0.179748
JA1.A43,MIO74,0.206107,0.168633
JA1.A44,MIO75,0.218702,0.178938
JA1.A47,GTR_DP1_M2C_P,0.125741,0.102879
JA1.A48,GTR_DP1_M2C_N,0.125609,0.102771
JA1.A51,FPGA_GTR_REFCLK3_P,0.160666,0.131454
JA1.A52,FPGA_GTR_REFCLK3_N,0.16049,0.13131
JA1.A55,GTR_DP0_C2M_P,0.150997,0.123543
JA1.A56,GTR_DP0_C2M_N,0.1507,0.1233
JA1.A6,HPA_CLK0_P,0.162987,0.133353
JA1.A7,HPA_CLK0_N,0.162547,0.132993
JA1.A9,HPA12_P,0.160237,0.131103
JA1.B1,HPA05_CC_P,0.213884,0.174996
JA1.B10,HPA11_P,0.144221,0.117999
JA1.B11,HPA11_N,0.1441,0.1179
JA1.B16,HDA03,0.148599,0.121581
JA1.B17,HDA04,0.143968,0.117792
JA1.B18,HDA05,0.149061,0.121959
JA1.B2,HPA05_CC_N,0.213642,0.174798
JA1.B20,HDA15,0.141438,0.115722
JA1.B21,HDA16_CC,0.14157,0.11583
JA1.B22,HDA17,0.143429,0.117351
JA1.B28,MIO35,0.15686,0.12834
JA1.B29,MIO36,0.194975,0.159525
JA1.B30,MIO37,0.239778,0.196182
JA1.B32,MIO38,0.172436,0.141084
JA1.B33,MIO39,0.326106,0.266814
JA1.B34,MIO40,0.157421,0.128799
JA1.B36,MIO50,0.237457,0.194283
JA1.B37,MIO51,0.237985,0.194715
JA1.B4,HPA04_P,0.283415,0.231885
